"Wscore","Lscore","Winning_team","Team1","Team2","Game_num1","Game_num2","Avg_score1","Avg_score2","Avg_allow1","Avg_allow2","dif","Team1_wins","Team2_wins","Team1_pct","Team2_pct","home"
70,53,"1",1104,1157,1,1,0,0,0,0,17,0,0,0,0,"1"
87,81,"2",1336,1107,1,1,0,0,0,0,-6,0,0,0,0,"1"
65,63,"1",1112,1277,1,1,0,0,0,0,2,0,0,0,0,"Neutral"
88,70,"2",1340,1113,1,1,0,0,0,0,-18,0,0,0,0,"2"
92,83,"1",1116,1236,1,1,0,0,0,0,9,0,0,0,0,"1"
83,66,"1",1120,1316,1,1,0,0,0,0,17,0,0,0,0,"1"
85,64,"1",1123,1387,1,1,0,0,0,0,21,0,0,0,0,"2"
76,61,"2",1331,1124,1,1,0,0,0,0,-15,0,0,0,0,"2"
68,62,"1",1127,1165,1,1,0,0,0,0,6,0,0,0,0,"1"
76,64,"2",1264,1137,1,1,0,0,0,0,-12,0,0,0,0,"2"
76,66,"1",1138,1310,1,1,0,0,0,0,10,0,0,0,0,"2"
82,53,"2",1355,1143,1,1,0,0,0,0,-29,0,0,0,0,"2"
75,60,"2",1216,1148,1,1,0,0,0,0,-15,0,0,0,0,"2"
82,69,"1",1151,1397,1,1,0,0,0,0,13,0,0,0,0,"2"
84,55,"1",1153,1135,1,1,0,0,0,0,29,0,0,0,0,"1"
74,64,"2",1208,1155,1,1,0,0,0,0,-10,0,0,0,0,"2"
81,68,"2",1154,1158,1,1,0,0,0,0,-13,0,0,0,0,"2"
90,53,"1",1160,1170,1,1,0,0,0,0,37,0,0,0,0,"1"
73,66,"1",1162,1392,1,1,0,0,0,0,7,0,0,0,0,"2"
89,82,"1",1166,1282,1,1,0,0,0,0,7,0,0,0,0,"1"
96,68,"1",1173,1122,1,1,0,0,0,0,28,0,0,0,0,"1"
94,49,"1",1181,1265,1,1,0,0,0,0,45,0,0,0,0,"1"
65,60,"1",1182,1259,1,1,0,0,0,0,5,0,0,0,0,"1"
97,87,"2",1237,1184,1,1,0,0,0,0,-10,0,0,0,0,"2"
72,57,"2",1212,1187,1,1,0,0,0,0,-15,0,0,0,0,"2"
69,68,"2",1218,1188,1,1,0,0,0,0,-1,0,0,0,0,"1"
96,59,"2",1200,1190,1,1,0,0,0,0,-37,0,0,0,0,"2"
85,63,"2",1357,1193,1,1,0,0,0,0,-22,0,0,0,0,"2"
80,59,"2",1195,1196,1,1,0,0,0,0,-21,0,0,0,0,"Neutral"
69,66,"2",1427,1201,1,1,0,0,0,0,-3,0,0,0,0,"2"
75,71,"2",1271,1203,1,1,0,0,0,0,-4,0,0,0,0,"2"
70,55,"1",1210,1399,1,1,0,0,0,0,15,0,0,0,0,"1"
92,69,"2",1430,1211,1,1,0,0,0,0,-23,0,0,0,0,"2"
74,72,"2",1164,1220,1,1,0,0,0,0,-2,0,0,0,0,"2"
93,52,"2",1288,1222,1,1,0,0,0,0,-41,0,0,0,0,"2"
81,62,"1",1228,1369,1,1,0,0,0,0,19,0,0,0,0,"1"
103,99,"2",1242,1231,1,1,0,0,0,0,-4,0,0,0,0,"Neutral"
91,74,"2",1244,1234,1,1,0,0,0,0,-17,0,0,0,0,"2"
113,71,"1",1235,1366,1,1,0,0,0,0,42,0,0,0,0,"1"
84,73,"2",1409,1240,1,1,0,0,0,0,-11,0,0,0,0,"1"
82,55,"1",1243,1442,1,1,0,0,0,0,27,0,0,0,0,"1"
87,64,"2",1372,1246,1,1,0,0,0,0,-23,0,0,0,0,"2"
78,47,"1",1257,1191,1,1,0,0,0,0,31,0,0,0,0,"1"
69,44,"1",1260,1108,1,1,0,0,0,0,25,0,0,0,0,"1"
95,71,"1",1266,1435,1,1,0,0,0,0,24,0,0,0,0,"Neutral"
62,56,"2",1110,1268,1,1,0,0,0,0,-6,0,0,0,0,"2"
90,76,"2",1262,1269,1,1,0,0,0,0,-14,0,0,0,0,"2"
92,43,"1",1274,1441,1,1,0,0,0,0,49,0,0,0,0,"1"
76,58,"2",1224,1276,1,1,0,0,0,0,-18,0,0,0,0,"2"
86,74,"1",1278,1418,1,1,0,0,0,0,12,0,0,0,0,"1"
86,83,"1",1279,1404,1,1,0,0,0,0,3,0,0,0,0,"1"
78,74,"1",1280,1313,1,1,0,0,0,0,4,0,0,0,0,"1"
96,62,"1",1283,1105,1,1,0,0,0,0,34,0,0,0,0,"1"
78,65,"2",1180,1284,1,1,0,0,0,0,-13,0,0,0,0,"2"
73,70,"1",1293,1229,1,1,0,0,0,0,3,0,0,0,0,"1"
76,66,"2",1117,1295,1,1,0,0,0,0,-10,0,0,0,0,"2"
80,78,"1",1296,1232,1,1,0,0,0,0,2,0,0,0,0,"1"
81,79,"1",1301,1204,1,1,0,0,0,0,2,0,0,0,0,"1"
81,70,"2",1226,1307,1,1,0,0,0,0,-11,0,0,0,0,"2"
79,73,"1",1311,1130,1,1,0,0,0,0,6,0,0,0,0,"2"
95,75,"2",1408,1314,1,1,0,0,0,0,-20,0,0,0,0,"Neutral"
87,77,"1",1318,1131,1,1,0,0,0,0,10,0,0,0,0,"1"
94,63,"2",1290,1321,1,1,0,0,0,0,-31,0,0,0,0,"2"
78,70,"2",1132,1324,1,1,0,0,0,0,-8,0,0,0,0,"2"
78,68,"1",1326,1298,1,1,0,0,0,0,10,0,0,0,0,"2"
102,65,"2",1144,1329,1,1,0,0,0,0,-37,0,0,0,0,"2"
62,55,"1",1330,1241,1,1,0,0,0,0,7,0,0,0,0,"1"
91,77,"1",1332,1119,1,1,0,0,0,0,14,0,0,0,0,"1"
78,58,"2",1341,1333,1,1,0,0,0,0,-20,0,0,0,0,"2"
67,50,"1",1335,1352,1,1,0,0,0,0,17,0,0,0,0,"2"
77,68,"1",1337,1142,1,1,0,0,0,0,9,0,0,0,0,"1"
93,90,"2",1185,1338,1,1,0,0,0,0,-3,0,0,0,0,"2"
71,55,"2",1415,1339,1,1,0,0,0,0,-16,0,0,0,0,"2"
73,71,"1",1342,1202,1,1,0,0,0,0,2,0,0,0,0,"1"
109,65,"1",1345,1270,1,1,0,0,0,0,44,0,0,0,0,"1"
84,61,"2",1171,1348,1,1,0,0,0,0,-23,0,0,0,0,"2"
72,69,"1",1350,1440,1,1,0,0,0,0,3,0,0,0,0,"1"
67,56,"2",1214,1351,1,1,0,0,0,0,-11,0,0,0,0,"1"
69,59,"2",1360,1361,1,1,0,0,0,0,-10,0,0,0,0,"2"
82,80,"2",1227,1362,1,1,0,0,0,0,-2,0,0,0,0,"2"
67,64,"2",1319,1365,1,1,0,0,0,0,-3,0,0,0,0,"2"
91,70,"2",1192,1371,1,1,0,0,0,0,-21,0,0,0,0,"2"
72,44,"2",1205,1374,1,1,0,0,0,0,-28,0,0,0,0,"2"
76,68,"2",1424,1375,1,1,0,0,0,0,-8,0,0,0,0,"1"
85,76,"2",1256,1376,1,1,0,0,0,0,-9,0,0,0,0,"2"
79,74,"2",1179,1377,1,1,0,0,0,0,-5,0,0,0,0,"1"
84,73,"2",1197,1378,1,1,0,0,0,0,-11,0,0,0,0,"2"
100,53,"1",1385,1126,1,1,0,0,0,0,47,0,0,0,0,"1"
81,63,"1",1388,1305,1,1,0,0,0,0,18,0,0,0,0,"1"
80,70,"2",1217,1390,1,1,0,0,0,0,-10,0,0,0,0,"Neutral"
83,55,"1",1393,1159,1,1,0,0,0,0,28,0,0,0,0,"1"
97,92,"1",1396,1247,1,1,0,0,0,0,5,0,0,0,0,"1"
78,64,"2",1413,1398,1,1,0,0,0,0,-14,0,0,0,0,"Neutral"
78,73,"1",1400,1230,1,1,0,0,0,0,5,0,0,0,0,"1"
72,44,"2",1322,1401,1,1,0,0,0,0,-28,0,0,0,0,"2"
61,57,"1",1402,1194,1,1,0,0,0,0,4,0,0,0,0,"Neutral"
93,67,"1",1403,1223,1,1,0,0,0,0,26,0,0,0,0,"1"
86,66,"1",1412,1115,1,1,0,0,0,0,20,0,0,0,0,"1"
119,80,"1",1417,1334,1,1,0,0,0,0,39,0,0,0,0,"1"
75,61,"1",1425,1285,1,1,0,0,0,0,14,0,0,0,0,"1"
72,56,"1",1429,1414,1,1,0,0,0,0,16,0,0,0,0,"2"
80,65,"1",1433,1421,1,1,0,0,0,0,15,0,0,0,0,"1"
79,65,"2",1381,1434,1,1,0,0,0,0,-14,0,0,0,0,"2"
88,48,"1",1437,1248,1,1,0,0,0,0,40,0,0,0,0,"1"
76,51,"2",1422,1438,1,1,0,0,0,0,-25,0,0,0,0,"1"
80,67,"1",1439,1263,1,1,0,0,0,0,13,0,0,0,0,"1"
67,58,"2",1163,1447,1,1,0,0,0,0,-9,0,0,0,0,"1"
80,59,"2",1347,1448,1,1,0,0,0,0,-21,0,0,0,0,"2"
69,65,"1",1450,1286,1,1,0,0,0,0,4,0,0,0,0,"1"
87,59,"2",1291,1452,1,1,0,0,0,0,-28,0,0,0,0,"2"
85,39,"2",1354,1455,1,1,0,0,0,0,-46,0,0,0,0,"2"
79,47,"2",1146,1458,1,1,0,0,0,0,-32,0,0,0,0,"2"
85,81,"2",1356,1460,1,1,0,0,0,0,-4,0,0,0,0,"1"
84,81,"1",1462,1250,1,1,0,0,0,0,3,0,0,0,0,"1"
89,52,"1",1139,1294,1,1,0,0,0,0,37,0,0,0,0,"1"
86,74,"2",1111,1172,1,1,0,0,0,0,-12,0,0,0,0,"2"
96,61,"2",1213,1181,1,2,0,94,0,49,-35,0,1,0,0.5,"2"
88,67,"2",1149,1199,1,1,0,0,0,0,-21,0,0,0,0,"2"
105,60,"1",1207,1367,1,1,0,0,0,0,45,0,0,0,0,"1"
92,84,"2",1176,1239,1,1,0,0,0,0,-8,0,0,0,0,"1"
79,74,"1",1245,1156,1,1,0,0,0,0,5,0,0,0,0,"Neutral"
91,69,"2",1459,1261,1,1,0,0,0,0,-22,0,0,0,0,"2"
81,69,"1",1267,1300,1,1,0,0,0,0,12,0,0,0,0,"1"
74,60,"2",1364,1303,1,1,0,0,0,0,-14,0,0,0,0,"1"
89,64,"2",1136,1323,1,1,0,0,0,0,-25,0,0,0,0,"2"
77,67,"2",1380,1325,1,1,0,0,0,0,-10,0,0,0,0,"2"
92,82,"1",1382,1384,1,1,0,0,0,0,10,0,0,0,0,"1"
77,76,"2",1405,1386,1,1,0,0,0,0,-1,0,0,0,0,"2"
69,65,"2",1319,1398,2,2,64,78,67,64,-4,0,1,0,0.5,"Neutral"
67,61,"1",1406,1206,1,1,0,0,0,0,6,0,0,0,0,"2"
63,58,"1",1413,1365,2,2,64,67,78,64,5,0,1,0,0.5,"2"
89,82,"1",1426,1411,1,1,0,0,0,0,7,0,0,0,0,"1"
94,70,"1",1436,1346,1,1,0,0,0,0,24,0,0,0,0,"2"
79,66,"2",1106,1443,1,1,0,0,0,0,-13,0,0,0,0,"2"
90,82,"1",1464,1103,1,1,0,0,0,0,8,0,0,0,0,"1"
96,74,"1",1113,1142,2,2,88,68,70,77,22,1,0,0.5,0,"1"
88,79,"1",1135,1310,2,2,55,66,84,76,9,0,0,0,0,"1"
64,61,"1",1161,1308,1,1,0,0,0,0,3,0,0,0,0,"1"
106,100,"1",1168,1340,1,2,0,70,0,88,6,0,0,0,0,"1"
63,49,"2",1133,1174,1,1,0,0,0,0,-14,0,0,0,0,"1"
78,72,"2",1352,1177,2,1,50,0,67,0,-6,0,0,0,0,"2"
77,68,"1",1188,1194,2,2,69,57,68,61,9,1,0,0.5,0,"Neutral"
76,54,"1",1196,1273,2,1,80,0,59,0,22,1,0,0.5,0,"Neutral"
74,68,"1",1218,1402,2,2,68,61,69,57,6,0,1,0,0.5,"1"
79,64,"2",1297,1228,1,2,0,81,0,62,-15,0,1,0,0.5,"2"
116,84,"2",1366,1234,2,2,71,91,113,74,-32,0,1,0,0.5,"2"
93,69,"2",1145,1246,1,2,0,87,0,64,-24,0,1,0,0.5,"2"
80,58,"2",1255,1263,1,2,0,67,0,80,-22,0,0,0,0,"1"
77,65,"1",1276,1237,2,2,76,87,58,97,12,1,0,0.5,0,"1"
99,44,"2",1105,1281,2,1,62,0,96,0,-55,0,0,0,0,"2"
91,65,"2",1240,1283,2,2,84,96,73,62,-26,1,1,0.5,0.5,"2"
89,75,"1",1287,1252,1,1,0,0,0,0,14,0,0,0,0,"1"
86,61,"1",1301,1383,2,1,81,0,79,0,25,1,0,0.5,0,"1"
83,61,"2",1170,1304,2,1,53,0,90,0,-22,0,0,0,0,"2"
97,57,"1",1314,1151,2,2,95,82,75,69,40,1,1,0.5,0.5,"1"
97,61,"2",1322,1328,2,1,44,0,72,0,-36,0,0,0,0,"2"
72,64,"2",1427,1333,2,2,66,78,69,58,-8,0,1,0,0.5,"2"
82,74,"1",1336,1182,2,2,81,65,87,60,8,0,1,0,0.5,"1"
94,70,"1",1349,1241,1,2,0,55,0,62,24,0,0,0,0,"2"
87,66,"2",1180,1353,2,1,65,0,78,0,-21,0,0,0,0,"2"
82,58,"2",1148,1371,2,2,75,91,60,70,-24,1,1,0.5,0.5,"2"
89,78,"1",1373,1165,1,2,0,62,0,68,11,0,0,0,0,"1"
91,64,"1",1374,1185,2,2,72,90,44,93,27,1,0,0.5,0,"1"
81,49,"2",1221,1376,1,2,0,85,0,76,-32,0,1,0,0.5,"2"
78,72,"2",1132,1377,2,2,70,79,78,74,-6,0,1,0,0.5,"2"
69,61,"1",1398,1365,3,3,73.5,62.5,64.5,63.5,8,2,1,0.666666666666667,0.333333333333333,"2"
88,80,"2",1410,1404,1,2,0,83,0,86,-8,0,0,0,0,"2"
74,61,"1",1411,1175,2,1,82,0,89,0,13,0,0,0,0,"2"
89,76,"1",1413,1319,3,3,63.5,64.5,68,68,13,1,0,0.333333333333333,0,"Neutral"
102,87,"1",1417,1169,2,1,119,0,80,0,15,1,0,0.5,0,"1"
77,73,"2",1271,1420,2,1,71,0,75,0,-4,0,0,0,0,"1"
82,72,"1",1425,1303,2,2,75,74,61,60,10,1,1,0.5,0.5,"1"
94,74,"1",1448,1137,2,2,80,76,59,64,20,1,1,0.5,0.5,"1"
92,55,"1",1455,1253,2,1,85,0,39,0,37,1,0,0.5,0,"1"
98,90,"2",1449,1463,1,1,0,0,0,0,-8,0,0,0,0,"1"
86,68,"2",1239,1102,2,1,92,0,84,0,-18,1,0,0.5,0,"2"
90,65,"2",1356,1116,2,2,81,92,85,83,-25,0,1,0,0.5,"2"
83,65,"1",1120,1209,2,1,83,0,66,0,18,1,0,0.5,0,"1"
82,73,"2",1343,1140,1,1,0,0,0,0,-9,0,0,0,0,"2"
86,74,"2",1399,1141,2,1,55,0,70,0,-12,0,0,0,0,"1"
100,95,"2",1189,1150,1,1,0,0,0,0,-5,0,0,0,0,"1"
74,51,"1",1153,1107,2,2,84,87,55,81,23,1,1,0.5,0.5,"1"
71,64,"1",1158,1157,2,2,81,53,68,70,7,1,0,0.5,0,"2"
67,55,"2",1370,1160,1,2,0,90,0,53,-12,0,1,0,0.5,"2"
61,51,"1",1187,1299,2,1,72,0,57,0,10,1,0,0.5,0,"1"
107,78,"2",1178,1190,1,2,0,96,0,59,-29,0,1,0,0.5,"2"
82,59,"2",1108,1191,2,2,44,47,69,78,-23,0,0,0,0,"2"
84,74,"1",1202,1412,2,2,71,86,73,66,10,0,1,0,0.5,"2"
60,46,"2",1421,1208,2,2,65,64,80,74,-14,0,0,0,0,"2"
77,62,"1",1210,1380,2,2,70,67,55,77,15,1,0,0.5,0,"1"
69,48,"2",1361,1211,2,2,69,92,59,69,-21,1,1,0.5,0.5,"2"
64,63,"2",1194,1218,3,3,62.5,71,69,68.5,-1,0,1,0,0.333333333333333,"2"
73,55,"2",1291,1235,2,2,59,113,87,71,-18,0,1,0,0.5,"2"
61,57,"2",1389,1248,1,2,0,48,0,88,-4,0,0,0,0,"1"
91,58,"2",1456,1257,1,2,0,78,0,47,-33,0,1,0,0.5,"2"
87,76,"1",1262,1447,2,2,76,67,90,58,11,0,1,0,0.5,"1"
81,49,"1",1266,1224,2,2,95,58,71,76,32,1,0,0.5,0,"1"
94,75,"1",1272,1410,1,2,0,80,0,88,19,0,0,0,0,"1"
84,67,"1",1278,1426,2,2,86,89,74,82,17,1,1,0.5,0.5,"1"
90,88,"2",1269,1279,2,2,90,86,76,83,-2,1,1,0.5,0.5,"2"
84,83,"2",1418,1286,2,2,74,65,86,69,-1,0,0,0,0,"2"
79,64,"2",1258,1305,1,2,0,63,0,81,-15,0,0,0,0,"2"
57,52,"1",1306,1396,1,2,0,97,0,92,5,0,1,0,0.5,"2"
95,79,"1",1307,1223,2,2,81,67,70,93,16,1,0,0.5,0,"1"
64,61,"2",1163,1318,2,2,58,87,67,77,-3,0,1,0,0.5,"1"
86,72,"2",1186,1321,1,2,0,94,0,63,-14,0,1,0,0.5,"2"
77,60,"2",1444,1324,1,2,0,78,0,70,-17,0,1,0,0.5,"2"
96,75,"2",1358,1325,1,2,0,77,0,67,-21,0,1,0,0.5,"2"
69,63,"1",1326,1300,2,2,78,69,68,81,6,1,0,0.5,0,"1"
102,90,"1",1329,1146,2,2,102,47,65,79,12,1,0,0.5,0,"1"
64,61,"1",1330,1350,2,2,62,72,55,69,3,1,1,0.5,0.5,"2"
76,58,"1",1334,1453,2,1,80,0,119,0,18,0,0,0,0,"1"
99,80,"1",1338,1205,2,2,93,44,90,72,19,1,0,0.5,0,"1"
84,78,"2",1201,1341,2,2,69,58,66,78,-6,1,0,0.5,0,"1"
80,58,"2",1436,1344,2,1,94,0,70,0,-22,1,0,0.5,0,"2"
107,65,"2",1265,1348,2,2,49,84,94,61,-42,0,1,0,0.5,"2"
83,65,"1",1359,1360,1,2,0,59,0,69,18,0,0,0,0,"2"
77,61,"2",1127,1385,2,2,68,100,62,53,-16,1,1,0.5,0.5,"2"
85,65,"2",1162,1386,2,2,73,77,66,76,-20,1,1,0.5,0.5,"2"
88,76,"1",1387,1381,2,2,64,65,85,79,12,0,0,0,0,"1"
